"x","y","H5_cont","H5_disc","simple"
159.5,19.5,2.125,1,3.125
915.5,273.5,1,1,2
560.5,144.5,1,1,2
680.5,112.5,3.0625,1,4.0625
697.5,779.5,1,1,2
172.5,998.5,3.25,1,4.25
483.5,205.5,2.6875,1,3.6875
371.5,228.5,2.6875,1,3.6875
719.5,997.5,2.125,1,3.125
315.5,139.5,1,1,2
454.5,328.5,1,1,2
698.5,788.5,1,1,2
14.5,354.5,1,1,2
1008.5,341.5,1.375,1,2.375
603.5,77.5,1,1,2
536.5,11.5,1,1,2
640.5,263.5,1,1,2
991.5,595.5,2.3125,1,3.3125
751.5,111.5,1,1,2
335.5,119.5,1.75,1,2.75
526.5,135.5,1,1,2
416.5,939.5,1,1,2
252.5,738.5,1,1,2
823.5,542.5,1,1,2
516.5,304.5,1,1,2
890.5,361.5,1,1,2
53.5,359.5,3.8125,1,4.8125
650.5,483.5,1,1,2
909.5,494.5,3.8125,1,4.8125
422.5,399.5,1,1,2
688.5,973.5,1,1,2
171.5,30.5,1,1,2
791.5,302.5,2.875,1,3.875
645.5,429.5,1,1,2
664.5,81.5,1,1,2
1019.5,527.5,1,1,2
441.5,763.5,1,1,2
297.5,747.5,2.3125,1,3.3125
942.5,457.5,1,1,2
433.5,373.5,1,1,2
508.5,553.5,1,1,2
286.5,797.5,3.8125,1,4.8125
410.5,749.5,1,1,2
987.5,898.5,2.3125,1,3.3125
579.5,578.5,1,1,2
936.5,576.5,1,1,2
543.5,0.5,1,1,2
777.5,511.5,3.25,1,4.25
414.5,738.5,1,1,2
687.5,905.5,3.0625,1,4.0625
116.5,387.5,3.8125,1,4.8125
573.5,151.5,1,1,2
731.5,560.5,1.1875,1,2.1875
24.5,544.5,3.8125,1,4.8125
457.5,337.5,1,1,2
70.5,1017.5,1,1,2
852.5,135.5,1,1,2
895.5,455.5,1,1,2
598.5,751.5,1,1,2
921.5,318.5,1.5625,1,2.5625
406.5,54.5,1,1,2
514.5,239.5,1,1,2
369.5,280.5,1,1,2
667.5,976.5,1,1,2
520.5,254.5,1,1,2
533.5,65.5,1,1,2
639.5,745.5,1,1,2
153.5,0.5,1,1,2
16.5,361.5,1,1,2
